0.04 BSW 42587620 1870866 2106101
0.00 BSW 42662064 2025291 2327614
0.01 BSW 42655305 2024290 2326178
0.02 BSW 42612303 1927278 2186974
0.03 BSW 42602051 1903766 2153244
0.04 BSW 42587620 1870866 2106101
0.05 BSW 42576153 1844616 2068557
0.06 BSW 42571148 1833601 2052777
0.07 BSW 42563970 1816960 2028936
0.08 BSW 42554579 1795764 1998543
0.09 BSW 42550108 1785032 1983194
0.10 BSW 42543205 1768795 1959975
0.20 BSW 42494165 1655631 1798047
0.30 BSW 42462621 1581578 1692185
0.40 BSW 42436225 1520469 1604794
0.50 BSW 42417311 1476773 1542355
0.60 BSW 42400682 1438537 1487759
0.70 BSW 42385999 1404683 1439342
0.80 BSW 42372864 1374044 1395654
0.90 BSW 42361206 1347504 1357744
1.00 BSW 42352690 1328256 1330311
0.03 FV 42600812 1903557 2152481
0.00 FV 42655739 2024139 2325674
0.01 FV 42655762 2023516 2324840
0.02 FV 42611493 1926981 2185930
0.03 FV 42600812 1903557 2152481
0.04 FV 42586641 1870623 2105409
0.05 FV 42574962 1844629 2068072
0.06 FV 42570248 1833764 2052553
0.07 FV 42563108 1817031 2028668
0.08 FV 42554195 1795685 1998114
0.09 FV 42549755 1784874 1982807
0.10 FV 42542682 1768745 1959696
0.20 FV 42494216 1655863 1798241
0.30 FV 42462619 1581734 1692401
0.40 FV 42436310 1520549 1604919
0.50 FV 42417239 1476857 1542458
0.60 FV 42400557 1438582 1487833
0.70 FV 42385920 1404664 1439403
0.80 FV 42372799 1374072 1395755
0.90 FV 42361163 1347419 1357709
1.00 FV 42352673 1328325 1330386
0.02 FV 42611570 1927031 2186553
0.00 HOL 42657284 2024271 2326582
0.01 HOL 42657114 2023844 2325969
0.02 HOL 42611570 1927031 2186553
0.03 HOL 42601023 1903784 2153204
0.04 HOL 42586570 1870939 2106027
0.05 HOL 42575168 1844726 2068506
0.06 HOL 42570554 1833868 2052892
0.07 HOL 42563306 1817153 2028953
0.08 HOL 42554043 1795813 1998449
0.09 HOL 42549228 1785213 1983228
0.10 HOL 42542418 1769066 1960163
0.20 HOL 42493678 1655808 1798233
0.30 HOL 42462017 1581857 1692481
0.40 HOL 42435936 1520462 1604822
0.50 HOL 42417244 1476751 1542393
0.60 HOL 42400682 1438470 1487733
0.70 HOL 42386092 1404596 1439320
0.80 HOL 42372584 1374062 1395705
0.90 HOL 42361146 1347492 1357770
1.00 HOL 42352589 1328281 1330336
0.03 OBV 42601271 1903667 2152669
0.00 OBV 42660669 2020620 2320696
0.01 OBV 42655049 2024410 2325871
0.02 OBV 42612077 1926899 2186024
0.03 OBV 42601271 1903667 2152669
0.04 OBV 42587092 1870840 2105530
0.05 OBV 42575789 1844594 2068050
0.06 OBV 42571034 1833710 2052534
0.07 OBV 42563996 1817175 2028912
0.08 OBV 42554573 1795843 1998447
0.09 OBV 42550009 1785180 1983202
0.10 OBV 42543008 1768984 1960068
0.20 OBV 42494450 1655914 1798430
0.30 OBV 42462792 1581703 1692443
0.40 OBV 42436711 1520402 1604802
0.50 OBV 42417473 1476840 1542507
0.60 OBV 42400698 1438656 1487935
0.70 OBV 42386050 1404670 1439437
0.80 OBV 42372943 1374031 1395710
0.90 OBV 42361283 1347472 1357761
1.00 OBV 42352601 1328294 1330354
