BSW 0.00 se 34920
BSW 0.00 pe 7751
BSW 0.01 se 32025
BSW 0.01 pe 7391
BSW 0.02 se 31798
BSW 0.02 pe 7307
BSW 0.03 se 31725
BSW 0.03 pe 7321
BSW 0.04 se 31699
BSW 0.04 pe 7287
BSW 0.05 se 31624
BSW 0.05 pe 7272
BSW 0.06 se 31659
BSW 0.06 pe 7261
BSW 0.07 se 31628
BSW 0.07 pe 7217
BSW 0.08 se 31633
BSW 0.08 pe 7233
BSW 0.09 se 31741
BSW 0.09 pe 7249
BSW 0.10 se 31791
BSW 0.10 pe 7252
BSW 0.20 se 32668
BSW 0.20 pe 7454
BSW 0.30 se 34518
BSW 0.30 pe 7716
BSW 0.40 se 36608
BSW 0.40 pe 7946
BSW 0.50 se 38727
BSW 0.50 pe 8272
BSW 0.60 se 41126
BSW 0.60 pe 8507
BSW 0.70 se 43462
BSW 0.70 pe 8790
BSW 0.80 se 46618
BSW 0.80 pe 9147
BSW 0.90 se 49035
BSW 0.90 pe 9418
BSW 1.00 se 50991
BSW 1.00 pe 9633
FV 0.00 se 34162
FV 0.00 pe 7702
FV 0.01 se 33930
FV 0.01 pe 7646
FV 0.02 se 33715
FV 0.02 pe 7692
FV 0.03 se 33608
FV 0.03 pe 7574
FV 0.04 se 33407
FV 0.04 pe 7601
FV 0.05 se 33239
FV 0.05 pe 7557
FV 0.06 se 33213
FV 0.06 pe 7597
FV 0.07 se 33297
FV 0.07 pe 7568
FV 0.08 se 33555
FV 0.08 pe 7749
FV 0.09 se 33024
FV 0.09 pe 7557
FV 0.10 se 33217
FV 0.10 pe 7561
FV 0.20 se 34581
FV 0.20 pe 7710
FV 0.30 se 35814
FV 0.30 pe 7787
FV 0.40 se 37308
FV 0.40 pe 7948
FV 0.50 se 38908
FV 0.50 pe 8153
FV 0.60 se 40595
FV 0.60 pe 8420
FV 0.70 se 42315
FV 0.70 pe 8604
FV 0.80 se 44413
FV 0.80 pe 8872
FV 0.90 se 46188
FV 0.90 pe 9060
FV 1.00 se 47943
FV 1.00 pe 9255
HOL 0.00 se 32746
HOL 0.00 pe 7438
HOL 0.01 se 32769
HOL 0.01 pe 7425
HOL 0.02 se 32858
HOL 0.02 pe 7437
HOL 0.03 se 32519
HOL 0.03 pe 7420
HOL 0.04 se 32693
HOL 0.04 pe 7398
HOL 0.05 se 32991
HOL 0.05 pe 7474
HOL 0.06 se 32804
HOL 0.06 pe 7461
HOL 0.07 se 32871
HOL 0.07 pe 7422
HOL 0.08 se 33058
HOL 0.08 pe 7448
HOL 0.09 se 32862
HOL 0.09 pe 7393
HOL 0.10 se 33043
HOL 0.10 pe 7403
HOL 0.20 se 34101
HOL 0.20 pe 7591
HOL 0.30 se 35506
HOL 0.30 pe 7726
HOL 0.40 se 37305
HOL 0.40 pe 7856
HOL 0.50 se 38730
HOL 0.50 pe 8058
HOL 0.60 se 40017
HOL 0.60 pe 8135
HOL 0.70 se 42438
HOL 0.70 pe 8426
HOL 0.80 se 44604
HOL 0.80 pe 8582
HOL 0.90 se 47069
HOL 0.90 pe 8798
HOL 1.00 se 49042
HOL 1.00 pe 9141
OBV 0.00 se 36620
OBV 0.00 pe 7884
OBV 0.01 se 33756
OBV 0.01 pe 7616
OBV 0.02 se 34457
OBV 0.02 pe 7773
OBV 0.03 se 33981
OBV 0.03 pe 7692
OBV 0.04 se 34035
OBV 0.04 pe 7649
OBV 0.05 se 33979
OBV 0.05 pe 7627
OBV 0.06 se 33456
OBV 0.06 pe 7624
OBV 0.07 se 33182
OBV 0.07 pe 7687
OBV 0.08 se 33295
OBV 0.08 pe 7711
OBV 0.09 se 33052
OBV 0.09 pe 7674
OBV 0.10 se 33228
OBV 0.10 pe 7713
OBV 0.20 se 34635
OBV 0.20 pe 7829
OBV 0.30 se 36337
OBV 0.30 pe 8141
OBV 0.40 se 38255
OBV 0.40 pe 8297
OBV 0.50 se 40137
OBV 0.50 pe 8617
OBV 0.60 se 42455
OBV 0.60 pe 8808
OBV 0.70 se 44575
OBV 0.70 pe 9161
OBV 0.80 se 46681
OBV 0.80 pe 9380
OBV 0.90 se 48927
OBV 0.90 pe 9665
OBV 1.00 se 50661
OBV 1.00 pe 9855
