OBV 0.30 se 44524 random_sampling
OBV 0.40 pe 9178 random_sampling
OBV 0.40 se 46380 random_sampling
OBV 0.50 pe 9213 random_sampling
OBV 0.50 se 47183 random_sampling
OBV 0.60 pe 9475 random_sampling
OBV 0.60 se 48281 random_sampling
OBV 0.70 pe 9693 random_sampling
OBV 0.70 se 49363 random_sampling
OBV 0.80 pe 9662 random_sampling
OBV 0.80 se 49855 random_sampling
OBV 0.90 pe 9815 random_sampling
OBV 0.90 se 50642 random_sampling
OBV 1.00 pe 9892 random_sampling
OBV 1.00 se 51003 random_sampling
BSW 1.10 se 32986 random_sampling
BSW 1.10 pe 7474 random_sampling
OBV 1.10 se 33600 random_sampling
OBV 1.10 pe 7674 random_sampling
HOL 1.10 se 32746 random_sampling
HOL 1.10 pe 7426 random_sampling
FV  1.10 se 32755 random_sampling
FV  1.10 pe 7527 random_sampling
