bin	mq	FP	total	TP	TP_sum	FP_sum	total_sum	FPR	TPR	mode	breeds	prog	replication
(10,20]	15.9049794426679	257	41591	41334	9900420	470	9900890	0.0047	99.0042	se	BSW	vg	4
[0,10]	2.76114418323075	31255	99110	67855	9968275	31725	10000000	0.31725	99.68275	se	BSW	vg	4
(50,60]	59.994118305328	32	9936932	9936900	9936900	32	9936932	0.00032	99.369	pe	BSW	vg	5
(40,50]	46.1595686346189	14	10942	10928	9947828	46	9947874	0.00046	99.47828	pe	BSW	vg	5
(30,40]	35.7533661740558	16	12180	12164	9959992	62	9960054	0.00062	99.59992	pe	BSW	vg	5
(20,30]	24.9001392480605	36	10054	10018	9970010	98	9970108	0.00098	99.7001	pe	BSW	vg	5
(10,20]	16.3817228805834	30	8776	8746	9978756	128	9978884	0.00128	99.78756	pe	BSW	vg	5
[0,10]	2.12066679295321	7197	21116	13919	9992675	7325	10000000	0.07325	99.92675	pe	BSW	vg	5
(50,60]	59.978413489807	45	9719635	9719590	9719590	45	9719635	0.00045	97.1959	se	BSW	vg	5
(40,50]	45.1010746298222	30	40386	40356	9759946	75	9760021	0.00075	97.59946	se	BSW	vg	5
(30,40]	35.9808253180267	40	48345	48305	9808251	115	9808366	0.00115	98.08251	se	BSW	vg	5
(20,30]	24.9627157245794	98	50933	50835	9859086	213	9859299	0.00213	98.59086	se	BSW	vg	5
(10,20]	15.9049794426679	257	41591	41334	9900420	470	9900890	0.0047	99.0042	se	BSW	vg	5
[0,10]	2.76114418323075	31255	99110	67855	9968275	31725	10000000	0.31725	99.68275	se	BSW	vg	5
(50,60]	59.9941185054136	31	9936930	9936899	9936899	31	9936930	0.00031	99.36899	pe	BSW	vg	6
(40,50]	46.165144318597	16	10948	10932	9947831	47	9947878	0.00047	99.47831	pe	BSW	vg	6
(30,40]	35.7601839684625	16	12176	12160	9959991	63	9960054	0.00063	99.59991	pe	BSW	vg	6
(20,30]	24.900854361216	36	10066	10030	9970021	99	9970120	0.00099	99.70021	pe	BSW	vg	6
(10,20]	16.3774789149761	30	8774	8744	9978765	129	9978894	0.00129	99.78765	pe	BSW	vg	6
[0,10]	2.12110300388515	7191	21106	13915	9992680	7320	10000000	0.0732	99.9268	pe	BSW	vg	6
(50,60]	59.978413489807	45	9719635	9719590	9719590	45	9719635	0.00045	97.1959	se	BSW	vg	6
(40,50]	45.1010746298222	30	40386	40356	9759946	75	9760021	0.00075	97.59946	se	BSW	vg	6
(30,40]	35.9808253180267	40	48345	48305	9808251	115	9808366	0.00115	98.08251	se	BSW	vg	6
(20,30]	24.9627157245794	98	50933	50835	9859086	213	9859299	0.00213	98.59086	se	BSW	vg	6
(10,20]	15.9049794426679	257	41591	41334	9900420	470	9900890	0.0047	99.0042	se	BSW	vg	6
[0,10]	2.76114418323075	31255	99110	67855	9968275	31725	10000000	0.31725	99.68275	se	BSW	vg	6
(50,60]	59.994100411353	32	9936964	9936932	9936932	32	9936964	0.00032	99.36932	pe	BSW	vg	7
(40,50]	46.1679794834219	16	10918	10902	9947834	48	9947882	0.00048	99.47834	pe	BSW	vg	7
(30,40]	35.7617251557888	16	12196	12180	9960014	64	9960078	0.00064	99.60014	pe	BSW	vg	7
(20,30]	24.9193227091633	36	10040	10004	9970018	100	9970118	0.001	99.70018	pe	BSW	vg	7
(10,20]	16.3840893549122	30	8774	8744	9978762	130	9978892	0.0013	99.78762	pe	BSW	vg	7
[0,10]	2.12232328974796	7191	21108	13917	9992679	7321	10000000	0.07321	99.92679	pe	BSW	vg	7
(50,60]	59.978413489807	45	9719635	9719590	9719590	45	9719635	0.00045	97.1959	se	BSW	vg	7
(40,50]	45.1010746298222	30	40386	40356	9759946	75	9760021	0.00075	97.59946	se	BSW	vg	7
(30,40]	35.9808253180267	40	48345	48305	9808251	115	9808366	0.00115	98.08251	se	BSW	vg	7
(20,30]	24.9627157245794	98	50933	50835	9859086	213	9859299	0.00213	98.59086	se	BSW	vg	7
(10,20]	15.9049794426679	257	41591	41334	9900420	470	9900890	0.0047	99.0042	se	BSW	vg	7
[0,10]	2.76114418323075	31255	99110	67855	9968275	31725	10000000	0.31725	99.68275	se	BSW	vg	7
(50,60]	59.9941158782527	32	9936912	9936880	9936880	32	9936912	0.00032	99.3688	pe	BSW	vg	8
(40,50]	46.1588836191171	14	10964	10950	9947830	46	9947876	0.00046	99.4783	pe	BSW	vg	8
(30,40]	35.7622802694266	16	12174	12158	9959988	62	9960050	0.00062	99.59988	pe	BSW	vg	8
(20,30]	24.9149571798447	36	10042	10006	9969994	98	9970092	0.00098	99.69994	pe	BSW	vg	8
(10,20]	16.3892816419612	30	8770	8740	9978734	128	9978862	0.00128	99.78734	pe	BSW	vg	8
[0,10]	2.12252814835841	7177	21138	13961	9992695	7305	10000000	0.07305	99.92695	pe	BSW	vg	8
(50,60]	59.978413489807	45	9719635	9719590	9719590	45	9719635	0.00045	97.1959	se	BSW	vg	8
(40,50]	45.1010746298222	30	40386	40356	9759946	75	9760021	0.00075	97.59946	se	BSW	vg	8
(30,40]	35.9808253180267	40	48345	48305	9808251	115	9808366	0.00115	98.08251	se	BSW	vg	8
(20,30]	24.9627157245794	98	50933	50835	9859086	213	9859299	0.00213	98.59086	se	BSW	vg	8
(10,20]	15.9049794426679	257	41591	41334	9900420	470	9900890	0.0047	99.0042	se	BSW	vg	8
[0,10]	2.76114418323075	31255	99110	67855	9968275	31725	10000000	0.31725	99.68275	se	BSW	vg	8
(50,60]	59.9941257369246	32	9936906	9936874	9936874	32	9936906	0.00032	99.36874	pe	BSW	vg	9
(40,50]	46.163898521628	14	10958	10944	9947818	46	9947864	0.00046	99.47818	pe	BSW	vg	9
(30,40]	35.7643763387708	16	12138	12122	9959940	62	9960002	0.00062	99.5994	pe	BSW	vg	9
(20,30]	24.9062623860484	36	10092	10056	9969996	98	9970094	0.00098	99.69996	pe	BSW	vg	9
(10,20]	16.37787389028	30	8786	8756	9978752	128	9978880	0.00128	99.78752	pe	BSW	vg	9
[0,10]	2.12348484848485	7170	21120	13950	9992702	7298	10000000	0.07298	99.92702	pe	BSW	vg	9
(50,60]	59.978413489807	45	9719635	9719590	9719590	45	9719635	0.00045	97.1959	se	BSW	vg	9
(40,50]	45.1010746298222	30	40386	40356	9759946	75	9760021	0.00075	97.59946	se	BSW	vg	9
(30,40]	35.9808253180267	40	48345	48305	9808251	115	9808366	0.00115	98.08251	se	BSW	vg	9
(20,30]	24.9627157245794	98	50933	50835	9859086	213	9859299	0.00213	98.59086	se	BSW	vg	9
(10,20]	15.9049794426679	257	41591	41334	9900420	470	9900890	0.0047	99.0042	se	BSW	vg	9
[0,10]	2.76114418323075	31255	99110	67855	9968275	31725	10000000	0.31725	99.68275	se	BSW	vg	9
(50,60]	59.9849762057656	819	9857430	9856611	9856611	819	9857430	0.00818922284275222	98.5567569637641	pe	bwa	bwa	10
(40,50]	45.8177466118266	132	59324	59192	9915803	951	9916754	0.00950909758663903	99.1486207958865	pe	bwa	bwa	10
(30,40]	39.7489949189947	281	58453	58172	9973975	1232	9975207	0.0123188309429435	99.7302855958969	pe	bwa	bwa	10
(20,30]	25.3212105468243	527	7699	7172	9981147	1759	9982906	0.0175883308674007	99.8019987903148	pe	bwa	bwa	10
(10,20]	16.5484515484515	323	2002	1679	9982826	2082	9984908	0.0208180243694873	99.818787197095	pe	bwa	bwa	10
[0,10]	0.732497973941774	8703	16041	7338	9990164	10785	10000949	0.107839766006206	99.8921602339938	pe	bwa	bwa	10
(50,60]	59.9701182852782	678	9608719	9608041	9608041	678	9608719	0.0067793464710002	96.0711487412613	se	bwa	bwa	10
(40,50]	45.1693048372811	112	69998	69886	9677927	790	9678717	0.00789923851340731	96.7699413776512	se	bwa	bwa	10
(30,40]	34.9320107253901	151	70114	69963	9747890	941	9748831	0.00940909296343832	97.4695039398202	se	bwa	bwa	10
(20,30]	25.1740830636462	532	66744	66212	9814102	1473	9815575	0.0147285801648721	98.1315601176047	se	bwa	bwa	10
(10,20]	18.1381421001406	1085	46235	45150	9859252	2558	9861810	0.025577534325691	98.5830165972	se	bwa	bwa	10
[0,10]	2.70207108670969	49833	139154	89321	9948573	52391	10000964	0.523859499944205	99.4761405000558	se	bwa	bwa	10
(50,60]	59.9849762057656	819	9857430	9856611	9856611	819	9857430	0.00818922284275222	98.5567569637641	pe	bwa	bwa	1
(40,50]	45.8177466118266	132	59324	59192	9915803	951	9916754	0.00950909758663903	99.1486207958865	pe	bwa	bwa	1
(30,40]	39.7489949189947	281	58453	58172	9973975	1232	9975207	0.0123188309429435	99.7302855958969	pe	bwa	bwa	1
(20,30]	25.3212105468243	527	7699	7172	9981147	1759	9982906	0.0175883308674007	99.8019987903148	pe	bwa	bwa	1
(10,20]	16.5484515484515	323	2002	1679	9982826	2082	9984908	0.0208180243694873	99.818787197095	pe	bwa	bwa	1
[0,10]	0.732497973941774	8703	16041	7338	9990164	10785	10000949	0.107839766006206	99.8921602339938	pe	bwa	bwa	1
(50,60]	59.9701182852782	678	9608719	9608041	9608041	678	9608719	0.0067793464710002	96.0711487412613	se	bwa	bwa	1
(40,50]	45.1693048372811	112	69998	69886	9677927	790	9678717	0.00789923851340731	96.7699413776512	se	bwa	bwa	1
(30,40]	34.9320107253901	151	70114	69963	9747890	941	9748831	0.00940909296343832	97.4695039398202	se	bwa	bwa	1
(20,30]	25.1740830636462	532	66744	66212	9814102	1473	9815575	0.0147285801648721	98.1315601176047	se	bwa	bwa	1
(10,20]	18.1381421001406	1085	46235	45150	9859252	2558	9861810	0.025577534325691	98.5830165972	se	bwa	bwa	1
[0,10]	2.70207108670969	49833	139154	89321	9948573	52391	10000964	0.523859499944205	99.4761405000558	se	bwa	bwa	1
(50,60]	59.9849762057656	819	9857430	9856611	9856611	819	9857430	0.00818922284275222	98.5567569637641	pe	bwa	bwa	2
(40,50]	45.8177466118266	132	59324	59192	9915803	951	9916754	0.00950909758663903	99.1486207958865	pe	bwa	bwa	2
(30,40]	39.7489949189947	281	58453	58172	9973975	1232	9975207	0.0123188309429435	99.7302855958969	pe	bwa	bwa	2
(20,30]	25.3212105468243	527	7699	7172	9981147	1759	9982906	0.0175883308674007	99.8019987903148	pe	bwa	bwa	2
(10,20]	16.5484515484515	323	2002	1679	9982826	2082	9984908	0.0208180243694873	99.818787197095	pe	bwa	bwa	2
[0,10]	0.732497973941774	8703	16041	7338	9990164	10785	10000949	0.107839766006206	99.8921602339938	pe	bwa	bwa	2
(50,60]	59.9701182852782	678	9608719	9608041	9608041	678	9608719	0.0067793464710002	96.0711487412613	se	bwa	bwa	2
(40,50]	45.1693048372811	112	69998	69886	9677927	790	9678717	0.00789923851340731	96.7699413776512	se	bwa	bwa	2
(30,40]	34.9320107253901	151	70114	69963	9747890	941	9748831	0.00940909296343832	97.4695039398202	se	bwa	bwa	2
(20,30]	25.1740830636462	532	66744	66212	9814102	1473	9815575	0.0147285801648721	98.1315601176047	se	bwa	bwa	2
(10,20]	18.1381421001406	1085	46235	45150	9859252	2558	9861810	0.025577534325691	98.5830165972	se	bwa	bwa	2
[0,10]	2.70207108670969	49833	139154	89321	9948573	52391	10000964	0.523859499944205	99.4761405000558	se	bwa	bwa	2
(50,60]	59.9849762057656	819	9857430	9856611	9856611	819	9857430	0.00818922284275222	98.5567569637641	pe	bwa	bwa	3
(40,50]	45.8177466118266	132	59324	59192	9915803	951	9916754	0.00950909758663903	99.1486207958865	pe	bwa	bwa	3
(30,40]	39.7489949189947	281	58453	58172	9973975	1232	9975207	0.0123188309429435	99.7302855958969	pe	bwa	bwa	3
(20,30]	25.3212105468243	527	7699	7172	9981147	1759	9982906	0.0175883308674007	99.8019987903148	pe	bwa	bwa	3
(10,20]	16.5484515484515	323	2002	1679	9982826	2082	9984908	0.0208180243694873	99.818787197095	pe	bwa	bwa	3
[0,10]	0.732497973941774	8703	16041	7338	9990164	10785	10000949	0.107839766006206	99.8921602339938	pe	bwa	bwa	3
(50,60]	59.9701182852782	678	9608719	9608041	9608041	678	9608719	0.0067793464710002	96.0711487412613	se	bwa	bwa	3
(40,50]	45.1693048372811	112	69998	69886	9677927	790	9678717	0.00789923851340731	96.7699413776512	se	bwa	bwa	3
(30,40]	34.9320107253901	151	70114	69963	9747890	941	9748831	0.00940909296343832	97.4695039398202	se	bwa	bwa	3
(20,30]	25.1740830636462	532	66744	66212	9814102	1473	9815575	0.0147285801648721	98.1315601176047	se	bwa	bwa	3
(10,20]	18.1381421001406	1085	46235	45150	9859252	2558	9861810	0.025577534325691	98.5830165972	se	bwa	bwa	3
[0,10]	2.70207108670969	49833	139154	89321	9948573	52391	10000964	0.523859499944205	99.4761405000558	se	bwa	bwa	3
(50,60]	59.9849762057656	819	9857430	9856611	9856611	819	9857430	0.00818922284275222	98.5567569637641	pe	bwa	bwa	4
(40,50]	45.8177466118266	132	59324	59192	9915803	951	9916754	0.00950909758663903	99.1486207958865	pe	bwa	bwa	4
(30,40]	39.7489949189947	281	58453	58172	9973975	1232	9975207	0.0123188309429435	99.7302855958969	pe	bwa	bwa	4
(20,30]	25.3212105468243	527	7699	7172	9981147	1759	9982906	0.0175883308674007	99.8019987903148	pe	bwa	bwa	4
(10,20]	16.5484515484515	323	2002	1679	9982826	2082	9984908	0.0208180243694873	99.818787197095	pe	bwa	bwa	4
[0,10]	0.732497973941774	8703	16041	7338	9990164	10785	10000949	0.107839766006206	99.8921602339938	pe	bwa	bwa	4
(50,60]	59.9701182852782	678	9608719	9608041	9608041	678	9608719	0.0067793464710002	96.0711487412613	se	bwa	bwa	4
(40,50]	45.1693048372811	112	69998	69886	9677927	790	9678717	0.00789923851340731	96.7699413776512	se	bwa	bwa	4
(30,40]	34.9320107253901	151	70114	69963	9747890	941	9748831	0.00940909296343832	97.4695039398202	se	bwa	bwa	4
(20,30]	25.1740830636462	532	66744	66212	9814102	1473	9815575	0.0147285801648721	98.1315601176047	se	bwa	bwa	4
(10,20]	18.1381421001406	1085	46235	45150	9859252	2558	9861810	0.025577534325691	98.5830165972	se	bwa	bwa	4
[0,10]	2.70207108670969	49833	139154	89321	9948573	52391	10000964	0.523859499944205	99.4761405000558	se	bwa	bwa	4
(50,60]	59.9849762057656	819	9857430	9856611	9856611	819	9857430	0.00818922284275222	98.5567569637641	pe	bwa	bwa	5
(40,50]	45.8177466118266	132	59324	59192	9915803	951	9916754	0.00950909758663903	99.1486207958865	pe	bwa	bwa	5
(30,40]	39.7489949189947	281	58453	58172	9973975	1232	9975207	0.0123188309429435	99.7302855958969	pe	bwa	bwa	5
(20,30]	25.3212105468243	527	7699	7172	9981147	1759	9982906	0.0175883308674007	99.8019987903148	pe	bwa	bwa	5
(10,20]	16.5484515484515	323	2002	1679	9982826	2082	9984908	0.0208180243694873	99.818787197095	pe	bwa	bwa	5
[0,10]	0.732497973941774	8703	16041	7338	9990164	10785	10000949	0.107839766006206	99.8921602339938	pe	bwa	bwa	5
(50,60]	59.9701182852782	678	9608719	9608041	9608041	678	9608719	0.0067793464710002	96.0711487412613	se	bwa	bwa	5
(40,50]	45.1693048372811	112	69998	69886	9677927	790	9678717	0.00789923851340731	96.7699413776512	se	bwa	bwa	5
(30,40]	34.9320107253901	151	70114	69963	9747890	941	9748831	0.00940909296343832	97.4695039398202	se	bwa	bwa	5
(20,30]	25.1740830636462	532	66744	66212	9814102	1473	9815575	0.0147285801648721	98.1315601176047	se	bwa	bwa	5
(10,20]	18.1381421001406	1085	46235	45150	9859252	2558	9861810	0.025577534325691	98.5830165972	se	bwa	bwa	5
[0,10]	2.70207108670969	49833	139154	89321	9948573	52391	10000964	0.523859499944205	99.4761405000558	se	bwa	bwa	5
(50,60]	59.9849762057656	819	9857430	9856611	9856611	819	9857430	0.00818922284275222	98.5567569637641	pe	bwa	bwa	6
(40,50]	45.8177466118266	132	59324	59192	9915803	951	9916754	0.00950909758663903	99.1486207958865	pe	bwa	bwa	6
(30,40]	39.7489949189947	281	58453	58172	9973975	1232	9975207	0.0123188309429435	99.7302855958969	pe	bwa	bwa	6
(20,30]	25.3212105468243	527	7699	7172	9981147	1759	9982906	0.0175883308674007	99.8019987903148	pe	bwa	bwa	6
(10,20]	16.5484515484515	323	2002	1679	9982826	2082	9984908	0.0208180243694873	99.818787197095	pe	bwa	bwa	6
[0,10]	0.732497973941774	8703	16041	7338	9990164	10785	10000949	0.107839766006206	99.8921602339938	pe	bwa	bwa	6
(50,60]	59.9701182852782	678	9608719	9608041	9608041	678	9608719	0.0067793464710002	96.0711487412613	se	bwa	bwa	6
(40,50]	45.1693048372811	112	69998	69886	9677927	790	9678717	0.00789923851340731	96.7699413776512	se	bwa	bwa	6
(30,40]	34.9320107253901	151	70114	69963	9747890	941	9748831	0.00940909296343832	97.4695039398202	se	bwa	bwa	6
(20,30]	25.1740830636462	532	66744	66212	9814102	1473	9815575	0.0147285801648721	98.1315601176047	se	bwa	bwa	6
(10,20]	18.1381421001406	1085	46235	45150	9859252	2558	9861810	0.025577534325691	98.5830165972	se	bwa	bwa	6
[0,10]	2.70207108670969	49833	139154	89321	9948573	52391	10000964	0.523859499944205	99.4761405000558	se	bwa	bwa	6
(50,60]	59.9849762057656	819	9857430	9856611	9856611	819	9857430	0.00818922284275222	98.5567569637641	pe	bwa	bwa	7
(40,50]	45.8177466118266	132	59324	59192	9915803	951	9916754	0.00950909758663903	99.1486207958865	pe	bwa	bwa	7
(30,40]	39.7489949189947	281	58453	58172	9973975	1232	9975207	0.0123188309429435	99.7302855958969	pe	bwa	bwa	7
(20,30]	25.3212105468243	527	7699	7172	9981147	1759	9982906	0.0175883308674007	99.8019987903148	pe	bwa	bwa	7
(10,20]	16.5484515484515	323	2002	1679	9982826	2082	9984908	0.0208180243694873	99.818787197095	pe	bwa	bwa	7
[0,10]	0.732497973941774	8703	16041	7338	9990164	10785	10000949	0.107839766006206	99.8921602339938	pe	bwa	bwa	7
(50,60]	59.9701182852782	678	9608719	9608041	9608041	678	9608719	0.0067793464710002	96.0711487412613	se	bwa	bwa	7
(40,50]	45.1693048372811	112	69998	69886	9677927	790	9678717	0.00789923851340731	96.7699413776512	se	bwa	bwa	7
(30,40]	34.9320107253901	151	70114	69963	9747890	941	9748831	0.00940909296343832	97.4695039398202	se	bwa	bwa	7
(20,30]	25.1740830636462	532	66744	66212	9814102	1473	9815575	0.0147285801648721	98.1315601176047	se	bwa	bwa	7
(10,20]	18.1381421001406	1085	46235	45150	9859252	2558	9861810	0.025577534325691	98.5830165972	se	bwa	bwa	7
[0,10]	2.70207108670969	49833	139154	89321	9948573	52391	10000964	0.523859499944205	99.4761405000558	se	bwa	bwa	7
(50,60]	59.9849762057656	819	9857430	9856611	9856611	819	9857430	0.00818922284275222	98.5567569637641	pe	bwa	bwa	8
(40,50]	45.8177466118266	132	59324	59192	9915803	951	9916754	0.00950909758663903	99.1486207958865	pe	bwa	bwa	8
(30,40]	39.7489949189947	281	58453	58172	9973975	1232	9975207	0.0123188309429435	99.7302855958969	pe	bwa	bwa	8
(20,30]	25.3212105468243	527	7699	7172	9981147	1759	9982906	0.0175883308674007	99.8019987903148	pe	bwa	bwa	8
(10,20]	16.5484515484515	323	2002	1679	9982826	2082	9984908	0.0208180243694873	99.818787197095	pe	bwa	bwa	8
[0,10]	0.732497973941774	8703	16041	7338	9990164	10785	10000949	0.107839766006206	99.8921602339938	pe	bwa	bwa	8
(50,60]	59.9701182852782	678	9608719	9608041	9608041	678	9608719	0.0067793464710002	96.0711487412613	se	bwa	bwa	8
(40,50]	45.1693048372811	112	69998	69886	9677927	790	9678717	0.00789923851340731	96.7699413776512	se	bwa	bwa	8
(30,40]	34.9320107253901	151	70114	69963	9747890	941	9748831	0.00940909296343832	97.4695039398202	se	bwa	bwa	8
(20,30]	25.1740830636462	532	66744	66212	9814102	1473	9815575	0.0147285801648721	98.1315601176047	se	bwa	bwa	8
(10,20]	18.1381421001406	1085	46235	45150	9859252	2558	9861810	0.025577534325691	98.5830165972	se	bwa	bwa	8
[0,10]	2.70207108670969	49833	139154	89321	9948573	52391	10000964	0.523859499944205	99.4761405000558	se	bwa	bwa	8
