bin	ident	mq	FP	total	TP	FP_sum	TP_sum	total_sum	PPV	FPR	TPR	mode	breeds	prog	replication
[0,10]	ref	2.66785842831434	27087	83350	56263	27391	8056784	8084175	99.6611775474925	0.338822452507522	99.6611775474925	se	BSW	vg	4
(50,60]	novel	59.9946779420887	16	1907157	1907141	16	1907141	1907157	99.9991610549105	0.000835149348192032	99.5467226912688	pe	BSW	vg	5
(40,50]	novel	46.0704225352113	5	2272	2267	21	1909408	1909429	99.9989001947703	0.00109613351950204	99.6650529145407	pe	BSW	vg	5
(30,40]	novel	35.4975099601594	1	2008	2007	22	1911415	1911437	99.9988490334759	0.00114833035376404	99.7698119609046	pe	BSW	vg	5
(20,30]	novel	25.5531400966184	13	1656	1643	35	1913058	1913093	99.9981705019045	0.00182688919917007	99.855571359597	pe	BSW	vg	5
(10,20]	novel	15.8489655172414	4	1450	1446	39	1914504	1914543	99.9979629603514	0.00203567653621808	99.9310479819399	pe	BSW	vg	5
[0,10]	novel	3.90483619344774	187	1282	1095	226	1915599	1915825	99.9882035154568	0.0117964845432125	99.9882035154568	pe	BSW	vg	5
(50,60]	ref	59.9939853856428	16	8029775	8029759	16	8029759	8029775	99.9998007416148	0.000197917536421465	99.3268824586306	pe	BSW	vg	5
(40,50]	ref	46.1829296424452	9	8670	8661	25	8038420	8038445	99.9996889945755	0.00030924615065854	99.4340176950647	pe	BSW	vg	5
(30,40]	ref	35.8038733779001	15	10172	10157	40	8048577	8048617	99.9995030202083	0.000494793841053663	99.5596582211543	pe	BSW	vg	5
(20,30]	ref	24.7713741366992	23	8398	8375	63	8056952	8057015	99.9992180726981	0.00077930029965952	99.6632556816249	pe	BSW	vg	5
(10,20]	ref	16.487168987169	26	7326	7300	89	8064252	8064341	99.9988963760337	0.0011009162963444	99.7535555576172	pe	BSW	vg	5
[0,10]	ref	2.00534435817283	7010	19834	12824	7099	8077076	8084175	99.912186463059	0.0878135369409989	99.912186463059	pe	BSW	vg	5
(50,60]	novel	59.9732738450616	22	1859190	1859168	22	1859168	1859190	99.9988166889882	0.00114833035376404	97.0426839612177	se	BSW	vg	5
(40,50]	novel	45.4000829187396	10	9648	9638	32	1868806	1868838	99.9982877060505	0.00167029869638406	97.5457570498349	se	BSW	vg	5
(30,40]	novel	35.7209906477312	10	11548	11538	42	1880344	1880386	99.9977664160444	0.00219226703900408	98.1480041235499	se	BSW	vg	5
(20,30]	novel	25.0381289308176	32	10176	10144	74	1890488	1890562	99.9960858199837	0.00386256573538815	98.6774888103037	se	BSW	vg	5
(10,20]	novel	16.0331474271283	92	9503	9411	166	1899899	1900065	99.9912634567765	0.00866467448749233	99.1687132175434	se	BSW	vg	5
[0,10]	novel	3.25450507614213	4168	15760	11592	4334	1911491	1915825	99.7737789203085	0.226221079691517	99.7737789203085	se	BSW	vg	5
(50,60]	ref	59.9796291431338	23	7860445	7860422	23	7860422	7860445	99.9997073957009	0.000284506458605856	97.232209842068	se	BSW	vg	5
(40,50]	ref	45.0072223306656	20	30738	30718	43	7891140	7891183	99.9994550880394	0.000531903379132688	97.6121867723052	se	BSW	vg	5
(30,40]	ref	36.0623692148816	30	36797	36767	73	7927907	7927980	99.9990792105934	0.000902998759922936	98.0669889011557	se	BSW	vg	5
(20,30]	ref	24.9438869396668	66	40757	40691	139	7968598	7968737	99.9982556834289	0.00171940859766148	98.5703303058135	se	BSW	vg	5
(10,20]	ref	15.8670219396659	165	32088	31923	304	8000521	8000825	99.9962003918346	0.00376043319200784	98.9652129005124	se	BSW	vg	5
[0,10]	ref	2.66785842831434	27087	83350	56263	27391	8056784	8084175	99.6611775474925	0.338822452507522	99.6611775474925	se	BSW	vg	5
(50,60]	novel	59.9946491566589	15	1907176	1907161	15	1907161	1907176	99.9992134968141	0.00078295251393003	99.547766627954	pe	BSW	vg	6
(40,50]	novel	46.0681818181818	5	2288	2283	20	1909444	1909464	99.9989525856471	0.00104393668524004	99.6669320005742	pe	BSW	vg	6
(30,40]	novel	35.5125125125125	1	1998	1997	21	1911441	1911462	99.9989013645053	0.00109613351950204	99.7711690785954	pe	BSW	vg	6
(20,30]	novel	25.5391095066185	13	1662	1649	34	1913090	1913124	99.9982228020766	0.00177469236490807	99.8572416582934	pe	BSW	vg	6
(10,20]	novel	15.8095238095238	4	1428	1424	38	1914514	1914552	99.9980152014675	0.00198347970195608	99.9315699502825	pe	BSW	vg	6
[0,10]	novel	3.91201885310291	186	1273	1087	224	1915601	1915825	99.9883079091253	0.0116920908746885	99.9883079091253	pe	BSW	vg	6
(50,60]	ref	59.9939924685115	16	8029754	8029738	16	8029738	8029754	99.9998007410937	0.000197917536421465	99.326622691864	pe	BSW	vg	6
(40,50]	ref	46.1907621247113	11	8660	8649	27	8038387	8038414	99.9996641128461	0.000333985842711223	99.4336094901459	pe	BSW	vg	6
(30,40]	ref	35.808803301238	15	10178	10163	42	8048550	8048592	99.9994781695979	0.000519533533106347	99.5593242353116	pe	BSW	vg	6
(20,30]	ref	24.7746311280343	23	8404	8381	65	8056931	8056996	99.9991932477067	0.000804039991712203	99.6629959148584	pe	BSW	vg	6
(10,20]	ref	16.4878845630275	26	7346	7320	91	8064251	8064342	99.9988715756351	0.00112565598839708	99.7535431877712	pe	BSW	vg	6
[0,10]	ref	2.00615136388847	7005	19833	12828	7096	8077079	8084175	99.9122235725971	0.0877764274029199	99.9122235725971	pe	BSW	vg	6
(50,60]	novel	59.9732738450616	22	1859190	1859168	22	1859168	1859190	99.9988166889882	0.00114833035376404	97.0426839612177	se	BSW	vg	6
(40,50]	novel	45.4000829187396	10	9648	9638	32	1868806	1868838	99.9982877060505	0.00167029869638406	97.5457570498349	se	BSW	vg	6
(30,40]	novel	35.7209906477312	10	11548	11538	42	1880344	1880386	99.9977664160444	0.00219226703900408	98.1480041235499	se	BSW	vg	6
(20,30]	novel	25.0381289308176	32	10176	10144	74	1890488	1890562	99.9960858199837	0.00386256573538815	98.6774888103037	se	BSW	vg	6
(10,20]	novel	16.0331474271283	92	9503	9411	166	1899899	1900065	99.9912634567765	0.00866467448749233	99.1687132175434	se	BSW	vg	6
[0,10]	novel	3.25450507614213	4168	15760	11592	4334	1911491	1915825	99.7737789203085	0.226221079691517	99.7737789203085	se	BSW	vg	6
(50,60]	ref	59.9796291431338	23	7860445	7860422	23	7860422	7860445	99.9997073957009	0.000284506458605856	97.232209842068	se	BSW	vg	6
(40,50]	ref	45.0072223306656	20	30738	30718	43	7891140	7891183	99.9994550880394	0.000531903379132688	97.6121867723052	se	BSW	vg	6
(30,40]	ref	36.0623692148816	30	36797	36767	73	7927907	7927980	99.9990792105934	0.000902998759922936	98.0669889011557	se	BSW	vg	6
(20,30]	ref	24.9438869396668	66	40757	40691	139	7968598	7968737	99.9982556834289	0.00171940859766148	98.5703303058135	se	BSW	vg	6
(10,20]	ref	15.8670219396659	165	32088	31923	304	8000521	8000825	99.9962003918346	0.00376043319200784	98.9652129005124	se	BSW	vg	6
[0,10]	ref	2.66785842831434	27087	83350	56263	27391	8056784	8084175	99.6611775474925	0.338822452507522	99.6611775474925	se	BSW	vg	6
(50,60]	novel	59.9946371475581	16	1907194	1907178	16	1907178	1907194	99.9991610711863	0.000835149348192032	99.5486539741365	pe	BSW	vg	7
(40,50]	novel	46.0864960282436	5	2266	2261	21	1909439	1909460	99.9989002126256	0.00109613351950204	99.6666710164029	pe	BSW	vg	7
(30,40]	novel	35.5049850448654	1	2006	2005	22	1911444	1911466	99.9988490509379	0.00114833035376404	99.7713256690982	pe	BSW	vg	7
(20,30]	novel	25.5775497887749	13	1657	1644	35	1913088	1913123	99.9981705305932	0.00182688919917007	99.8571372646249	pe	BSW	vg	7
(10,20]	novel	15.8471248246844	4	1426	1422	39	1914510	1914549	99.9979629667352	0.00203567653621808	99.9313611629455	pe	BSW	vg	7
[0,10]	novel	3.91065830721003	188	1276	1088	227	1915598	1915825	99.9881513186225	0.0118486813774745	99.9881513186225	pe	BSW	vg	7
(50,60]	ref	59.9939729282408	16	8029770	8029754	16	8029754	8029770	99.9998007414907	0.000197917536421465	99.3268206094005	pe	BSW	vg	7
(40,50]	ref	46.1893203883495	11	8652	8641	27	8038395	8038422	99.9996641131804	0.000333985842711223	99.4337084489141	pe	BSW	vg	7
(30,40]	ref	35.8122669283611	15	10190	10175	42	8048570	8048612	99.9994781708946	0.000519533533106347	99.5595716322321	pe	BSW	vg	7
(20,30]	ref	24.7892162710247	23	8383	8360	65	8056930	8056995	99.9991932476066	0.000804039991712203	99.6629835450123	pe	BSW	vg	7
(10,20]	ref	16.4882961350027	26	7348	7322	91	8064252	8064343	99.998871575775	0.00112565598839708	99.7535555576172	pe	BSW	vg	7
[0,10]	ref	2.00726099233562	7003	19832	12829	7094	8077081	8084175	99.9122483122891	0.0877516877108672	99.9122483122891	pe	BSW	vg	7
(50,60]	novel	59.9732738450616	22	1859190	1859168	22	1859168	1859190	99.9988166889882	0.00114833035376404	97.0426839612177	se	BSW	vg	7
(40,50]	novel	45.4000829187396	10	9648	9638	32	1868806	1868838	99.9982877060505	0.00167029869638406	97.5457570498349	se	BSW	vg	7
(30,40]	novel	35.7209906477312	10	11548	11538	42	1880344	1880386	99.9977664160444	0.00219226703900408	98.1480041235499	se	BSW	vg	7
(20,30]	novel	25.0381289308176	32	10176	10144	74	1890488	1890562	99.9960858199837	0.00386256573538815	98.6774888103037	se	BSW	vg	7
(10,20]	novel	16.0331474271283	92	9503	9411	166	1899899	1900065	99.9912634567765	0.00866467448749233	99.1687132175434	se	BSW	vg	7
[0,10]	novel	3.25450507614213	4168	15760	11592	4334	1911491	1915825	99.7737789203085	0.226221079691517	99.7737789203085	se	BSW	vg	7
(50,60]	ref	59.9796291431338	23	7860445	7860422	23	7860422	7860445	99.9997073957009	0.000284506458605856	97.232209842068	se	BSW	vg	7
(40,50]	ref	45.0072223306656	20	30738	30718	43	7891140	7891183	99.9994550880394	0.000531903379132688	97.6121867723052	se	BSW	vg	7
(30,40]	ref	36.0623692148816	30	36797	36767	73	7927907	7927980	99.9990792105934	0.000902998759922936	98.0669889011557	se	BSW	vg	7
(20,30]	ref	24.9438869396668	66	40757	40691	139	7968598	7968737	99.9982556834289	0.00171940859766148	98.5703303058135	se	BSW	vg	7
(10,20]	ref	15.8670219396659	165	32088	31923	304	8000521	8000825	99.9962003918346	0.00376043319200784	98.9652129005124	se	BSW	vg	7
[0,10]	ref	2.66785842831434	27087	83350	56263	27391	8056784	8084175	99.6611775474925	0.338822452507522	99.6611775474925	se	BSW	vg	7
