af	population	secor	pecor	maptype	totvar
0.9	JPT	67175	33807	af	7993
0.9	STU	68382	34173	af	7993
0.9	YRI	70382	34486	af	7993
1	GBR	68821	34033	af	3153
1	JPT	68369	34264	af	3153
1	STU	68920	34529	af	3153
1	YRI	70979	34860	af	3153
0	GBR	61918	32100	random	290593
0	JPT	61012	31436	random	290593
0	STU	62931	32495	random	290593
0	YRI	66284	33608	random	290593
