anims	mode	prog	type1	type2	type3	type4	type5	type6	type7	type8	type9	type10	type11	type12	concor	recal	precision	discre	concor_het	concor_alt
SAMEA6163179	graph	graphfil	10255	358	2	15	11109	35	3	300	10259	11531	563	418	97.7950272142504	95.7429265752474	98.3748446204134	3.18687783862403	94.4080904223676	99.6406371406371
SAMEA6163179	graph	graphtyper	10745	370	4	19	11316	37	3	304	10515	11037	340	158	97.7876504667847	97.8389168547127	98.3644228169776	3.22367747395633	94.3786488740617	99.6115953012505
SAMEA6163179	linear	graphfil	10258	358	3	15	11107	34	3	300	10255	11528	565	422	97.7948226270374	95.7168894289186	98.3789260385005	3.18773588030913	94.4071398215045	99.640497473766
SAMEA6163179	linear	graphtyper	10745	370	4	19	11316	37	3	305	10515	11037	339	158	97.7847151347782	97.8432563791009	98.3599909889615	3.22791076568675	94.3707780835627	99.6115953012505
SAMEA6163183	bwa	graphfil	30778	748	5	122	34954	158	8	678	33109	18707	1384	1380	98.2905727923628	96.1831639416703	98.6005881586	2.45307686480362	96.0802638812534	99.5100985813898
SAMEA6163183	bwa	graphtyper	32117	786	9	135	35580	174	9	694	34075	17354	704	394	98.2554378783344	98.4837604949182	98.567931283343	2.51820337750898	96.0064759848894	99.4658182030475
SAMEA6163183	graph	graphfil	30726	776	6	123	34880	158	9	701	33090	18757	1407	1398	98.2352765529666	96.1265466195316	98.5629558736097	2.53155108662132	95.9375085953186	99.5068262464666
SAMEA6163183	graph	graphtyper	32057	812	10	138	35511	173	9	719	34059	17411	722	410	98.2017238713667	98.436809544852	98.5285161948194	2.59458262347177	95.8668538415852	99.465568599965
SAMEA6163183	linear	graphfil	30721	779	6	123	34883	161	9	701	33087	18762	1401	1398	98.2293221857271	96.134832081308	98.5586682907024	2.53990057342039	95.9299287737535	99.4978047753654
SAMEA6163183	linear	graphtyper	32051	815	10	137	35519	175	9	718	34069	17418	712	398	98.1990860168304	98.4671895713654	98.5288912172399	2.59800357787384	95.8625715211055	99.4599170899749
SAMEA6163181	bwa	graphfil	31603	751	7	37	33710	63	2	613	33200	18617	1434	1350	98.5267937511252	96.085929591722	98.9426987060998	2.14483496787578	96.1110794320579	99.7896002404569
SAMEA6163181	bwa	graphtyper	32944	786	11	43	34346	71	3	635	34148	17269	741	390	98.4959266703565	98.409908896637	98.9140166941051	2.20219582197096	96.0270640534571	99.7604440549226
SAMEA6163181	graph	graphfil	31543	771	8	34	33624	62	2	633	33218	18680	1480	1332	98.4884128334752	96.046563941064	98.9182069761591	2.19970700187247	95.9917780061665	99.789714011055
SAMEA6163181	graph	graphtyper	32884	808	11	45	34270	72	4	654	34152	17326	776	385	98.4509232264334	98.3677314137892	98.8800092489559	2.26704580005525	95.9084294190082	99.7575580546225
SAMEA6163181	linear	graphfil	31542	771	8	33	33638	62	2	632	33209	18682	1467	1341	98.4904451585133	96.0521876054437	98.9212146324139	2.19669718654698	95.9961188322251	99.7896571411401
SAMEA6163181	linear	graphtyper	32885	806	11	43	34287	72	3	654	34154	17328	761	383	98.456007384735	98.391631987403	98.8846026035571	2.25948378128212	95.9157411810781	99.7575722171919
SAMEA6163182	bwa	graphfil	31141	621	7	60	34667	73	3	553	32913	18563	1423	1379	98.6835002698974	96.0885588251717	98.9907571518552	1.90343075577172	96.7244217516252	99.7575243233413
SAMEA6163182	bwa	graphtyper	32455	662	12	71	35287	90	3	581	33875	17238	734	395	98.6228114445437	98.4239767714557	98.9342984250504	2.0020574794973	96.5973172734739	99.6997969214469
SAMEA6163182	graph	graphfil	31071	641	7	60	34600	72	3	568	32921	18633	1455	1372	98.6482294908098	96.0536601708638	98.9695708255159	1.95327853354876	96.6237538049094	99.7606060606061
SAMEA6163182	graph	graphtyper	32386	683	12	73	35223	89	3	597	33879	17305	761	392	98.5846811404148	98.3904740633201	98.9093095156304	2.05631241386056	96.4934388954333	99.7027663331371
SAMEA6163182	linear	graphfil	31072	642	7	60	34610	75	3	568	32908	18632	1444	1382	98.6442543398869	96.0550561170361	98.9651735459662	1.95903361560982	96.6219988833054	99.7514398302516
SAMEA6163182	linear	graphtyper	32387	682	12	70	35240	90	3	597	33878	17307	745	392	98.5877873716722	98.4128092020772	98.9123901657174	2.05170127981549	96.4977135189901	99.6998234255444
